年份,月份,類別,區段,合計
2018,12,技術,總公司,6069
2018,12,傢具,公司,9926
2018,12,傢具,消費者,8093
2018,12,傢具,總公司,8641
2018,12,辦公用品,公司,7304
2018,12,辦公用品,消費者,10956
2018,12,辦公用品,總公司,3970
2019,1,技術,公司,3913
2019,1,技術,消費者,7629
2019,1,技術,總公司,2160
2019,1,傢具,公司,2768
2019,1,傢具,消費者,2609
2019,1,傢具,總公司,550
2019,1,辦公用品,公司,6049
2019,1,辦公用品,消費者,6582
2019,1,辦公用品,總公司,3615
2019,2,技術,公司,1489
2019,2,技術,消費者,7866
2019,2,技術,總公司,1179
2019,2,傢具,公司,666
2019,2,傢具,消費者,3366
2019,2,傢具,總公司,2103
2019,2,辦公用品,公司,1145
2019,2,辦公用品,消費者,3187
2019,2,辦公用品,總公司,1122
2019,3,技術,公司,2451
2019,3,技術,消費者,13523
2019,3,技術,總公司,4056
2019,3,傢具,公司,2175
2019,3,傢具,消費者,7883
2019,3,傢具,總公司,282
2019,3,辦公用品,公司,4587
2019,3,辦公用品,消費者,9232
2019,3,辦公用品,總公司,1109
2019,4,技術,公司,8052
2019,4,技術,消費者,5370
2019,4,技術,總公司,2607
2019,4,傢具,公司,1174
2019,4,傢具,消費者,3408
2019,4,辦公用品,公司,3319
2019,4,辦公用品,消費者,8091
2019,4,辦公用品,總公司,673
2019,5,技術,公司,1600
2019,5,技術,消費者,11245
2019,5,技術,總公司,661
2019,5,傢具,公司,1610
2019,5,傢具,消費者,7801
2019,5,傢具,總公司,94
2019,5,辦公用品,公司,4062
2019,5,辦公用品,消費者,7725
2019,5,辦公用品,總公司,461
2019,6,技術,公司,10400
2019,6,技術,消費者,14896
2019,6,技術,總公司,5095
2019,6,傢具,公司,5024
2019,6,傢具,消費者,16585
2019,6,傢具,總公司,2683
2019,6,辦公用品,公司,4382
2019,6,辦公用品,消費者,9754
2019,6,辦公用品,總公司,3139
2019,7,技術,公司,8148
2019,7,技術,消費者,9698
2019,7,傢具,公司,5113
2019,7,傢具,消費者,3867
2019,7,傢具,總公司,2566
2019,7,辦公用品,公司,6798
2019,7,辦公用品,消費者,10183
2019,7,辦公用品,總公司,1472
2019,8,技術,公司,5846
2019,8,技術,消費者,21248
2019,8,技術,總公司,7479
2019,8,傢具,公司,7296
2019,8,傢具,消費者,15910
2019,8,傢具,總公司,2400
2019,8,辦公用品,公司,9110
2019,8,辦公用品,消費者,15905
2019,8,辦公用品,總公司,7494
2019,9,技術,公司,7238
2019,9,技術,消費者,18310
2019,9,技術,總公司,4565
2019,9,傢具,公司,7540
2019,9,傢具,消費者,13578
2019,9,傢具,總公司,2313
2019,9,辦公用品,公司,4761
2019,9,辦公用品,消費者,13980
2019,9,辦公用品,總公司,2662
2019,10,技術,公司,3595
2019,10,技術,消費者,6520
2019,10,技術,總公司,2467
2019,10,傢具,公司,7020
2019,10,傢具,消費者,6352
2019,10,傢具,總公司,1122
2019,10,辦公用品,公司,3465
2019,10,辦公用品,消費者,3092
2019,10,辦公用品,總公司,2779
2019,11,技術,公司,7183
2019,11,技術,消費者,8881
2019,11,技術,總公司,5055
2019,11,傢具,公司,6275
2019,11,傢具,消費者,6444
2019,11,傢具,總公司,3132
2019,11,辦公用品,公司,9488
2019,11,辦公用品,消費者,15862
2019,11,辦公用品,總公司,2242
2019,12,技術,公司,8000
2019,12,技術,消費者,16963
2019,12,技術,總公司,2135
2019,12,傢具,公司,3157
2019,12,傢具,消費者,9695
2019,12,傢具,總公司,3495
2019,12,辦公用品,公司,4612
2019,12,辦公用品,消費者,21192
2019,12,辦公用品,總公司,6134
2020,1,技術,公司,525
2020,1,技術,消費者,6041
2020,1,技術,總公司,5817
2020,1,傢具,公司,1356
2020,1,傢具,消費者,14059
2020,1,傢具,總公司,521
2020,1,辦公用品,公司,11503
2020,1,辦公用品,消費者,12218
2020,1,辦公用品,總公司,2814
2020,2,技術,公司,8154
2020,2,技術,消費者,5243
2020,2,技術,總公司,4580
2020,2,傢具,公司,6294
2020,2,傢具,消費者,5938
2020,2,傢具,總公司,1973
2020,2,辦公用品,公司,2459
2020,2,辦公用品,消費者,9848
2020,2,辦公用品,總公司,8733
2020,3,技術,公司,2601
2020,3,技術,消費者,3489
2020,3,技術,總公司,1167
2020,3,傢具,公司,3397
2020,3,傢具,消費者,5730
2020,3,傢具,總公司,3969
2020,3,辦公用品,公司,3103
2020,3,辦公用品,消費者,8566
2020,3,辦公用品,總公司,1454
2020,4,技術,公司,5583
2020,4,技術,消費者,7060
2020,4,技術,總公司,1676
2020,4,傢具,公司,2078
2020,4,傢具,消費者,4836
2020,4,傢具,總公司,404
2020,4,辦公用品,公司,6574
2020,4,辦公用品,消費者,3600
2020,4,辦公用品,總公司,1483
2020,5,技術,公司,8300
2020,5,技術,消費者,12414
2020,5,技術,總公司,2962
2020,5,傢具,公司,2876
2020,5,傢具,消費者,5194
2020,5,傢具,總公司,1309
2020,5,辦公用品,公司,4043
2020,5,辦公用品,消費者,10830
2020,5,辦公用品,總公司,1917
2020,6,技術,公司,18177
2020,6,技術,消費者,19087
2020,6,技術,總公司,8471
2020,6,傢具,公司,3494
2020,6,傢具,消費者,17576
2020,6,傢具,總公司,1057
2020,6,辦公用品,公司,13544
2020,6,辦公用品,消費者,10747
2020,6,辦公用品,總公司,4981
2020,7,技術,公司,6363
2020,7,技術,消費者,12585
2020,7,技術,總公司,5104
2020,7,傢具,公司,4043
2020,7,傢具,消費者,7306
2020,7,傢具,總公司,3540
2020,7,辦公用品,公司,6009
2020,7,辦公用品,消費者,7509
2020,7,辦公用品,總公司,5449
2020,8,技術,公司,7089
2020,8,技術,消費者,9124
2020,8,技術,總公司,4358
2020,8,傢具,公司,10026
2020,8,傢具,消費者,10192
2020,8,傢具,總公司,3686
2020,8,辦公用品,公司,10163
2020,8,辦公用品,消費者,15595
2020,8,辦公用品,總公司,4228
2020,9,技術,公司,14954
2020,9,技術,消費者,10539
2020,9,技術,總公司,3593
2020,9,傢具,公司,5098
2020,9,傢具,消費者,12906
2020,9,傢具,總公司,6106
2020,9,辦公用品,公司,6455
2020,9,辦公用品,消費者,14409
2020,9,辦公用品,總公司,7025
2020,10,技術,公司,8833
2020,10,技術,消費者,10393
2020,10,技術,總公司,2080
2020,10,傢具,公司,1248
2020,10,傢具,消費者,2830
2020,10,傢具,總公司,918
2020,10,辦公用品,公司,2359
2020,10,辦公用品,消費者,6617
2020,10,辦公用品,總公司,1292
2020,11,技術,公司,6818
2020,11,技術,消費者,18069
2020,11,技術,總公司,2072
2020,11,傢具,公司,11753
2020,11,傢具,消費者,14183
2020,11,傢具,總公司,2106
2020,11,辦公用品,公司,16858
2020,11,辦公用品,消費者,18306
2020,11,辦公用品,總公司,1922
2020,12,技術,公司,7290
2020,12,技術,消費者,22478
2020,12,技術,總公司,3246
2020,12,傢具,公司,6326
2020,12,傢具,消費者,9508
2020,12,傢具,總公司,3444
2020,12,辦公用品,公司,7413
2020,12,辦公用品,消費者,9891
2020,12,辦公用品,總公司,8822
2021,1,技術,公司,8260
2021,1,技術,消費者,20657
2021,1,技術,總公司,2818
2021,1,傢具,公司,4875
2021,1,傢具,消費者,3676
2021,1,傢具,總公司,2118
2021,1,辦公用品,公司,6556
2021,1,辦公用品,消費者,11906
2021,1,辦公用品,總公司,2315
2021,2,技術,公司,8020
2021,2,技術,消費者,9963
2021,2,技術,總公司,1937
2021,2,傢具,公司,2282
2021,2,傢具,消費者,5572
2021,2,傢具,總公司,5714
2021,2,辦公用品,公司,9163
2021,2,辦公用品,消費者,8550
2021,2,辦公用品,總公司,2741
2021,3,技術,公司,8789
2021,3,技術,消費者,4540
2021,3,技術,總公司,1637
2021,3,傢具,公司,5087
2021,3,傢具,消費者,6729
2021,3,傢具,總公司,2982
2021,3,辦公用品,公司,4915
2021,3,辦公用品,消費者,8195
2021,3,辦公用品,總公司,4248
2021,4,技術,公司,6329
2021,4,技術,消費者,12135
2021,4,技術,總公司,6655
2021,4,傢具,公司,9514
2021,4,傢具,消費者,8551
2021,4,傢具,總公司,1820
2021,4,辦公用品,公司,9182
2021,4,辦公用品,消費者,11936
2021,4,辦公用品,總公司,1553
2021,5,技術,公司,4824
2021,5,技術,消費者,9983
2021,5,技術,總公司,1076
2021,5,傢具,公司,298
2021,5,傢具,消費者,8936
2021,5,傢具,總公司,2554
2021,5,辦公用品,公司,3605
2021,5,辦公用品,消費者,14112
2021,5,辦公用品,總公司,5664
2021,6,技術,公司,15990
2021,6,技術,消費者,20714
2021,6,技術,總公司,6042
2021,6,傢具,公司,12883
2021,6,傢具,消費者,12040
2021,6,傢具,總公司,6291
2021,6,辦公用品,公司,12334
2021,6,辦公用品,消費者,13765
2021,6,辦公用品,總公司,5864
2021,7,技術,公司,5478
2021,7,技術,消費者,14965
2021,7,技術,總公司,3964
2021,7,傢具,公司,5933
2021,7,傢具,消費者,6476
2021,7,傢具,總公司,2506
2021,7,辦公用品,公司,5543
2021,7,辦公用品,消費者,10005
2021,7,辦公用品,總公司,4700
2021,8,技術,公司,23378
2021,8,技術,消費者,28411
2021,8,技術,總公司,14340
2021,8,傢具,公司,11183
2021,8,傢具,消費者,14778
2021,8,傢具,總公司,6380
2021,8,辦公用品,公司,12550
2021,8,辦公用品,消費者,24224
2021,8,辦公用品,總公司,11499
2021,9,技術,公司,14399
2021,9,技術,消費者,16344
2021,9,技術,總公司,10195
2021,9,傢具,公司,11202
2021,9,傢具,消費者,16943
2021,9,傢具,總公司,9316
2021,9,辦公用品,公司,19679
2021,9,辦公用品,消費者,17441
2021,9,辦公用品,總公司,5432
2021,10,技術,公司,7885
2021,10,技術,消費者,20444
2021,10,技術,總公司,6209
2021,10,傢具,公司,2034
2021,10,傢具,消費者,5360
2021,10,傢具,總公司,875
2021,10,辦公用品,公司,4746
2021,10,辦公用品,消費者,9074
2021,10,辦公用品,總公司,4790
2021,11,技術,公司,15173
2021,11,技術,消費者,19751
2021,11,技術,總公司,5961
2021,11,傢具,公司,12710
2021,11,傢具,消費者,19318
2021,11,傢具,總公司,1615
2021,11,辦公用品,公司,12289
2021,11,辦公用品,消費者,22692
2021,11,辦公用品,總公司,6166
2021,12,技術,公司,16311
2021,12,技術,消費者,17851
2021,12,技術,總公司,14846
2021,12,傢具,公司,4096
2021,12,傢具,消費者,21534
2021,12,傢具,總公司,3445
2021,12,辦公用品,公司,13418
2021,12,辦公用品,消費者,22045
2021,12,辦公用品,總公司,7266
